id,title,start_page,end_page,image_count
1,article_1,1,1,1
2,Monitor’s Map ,2,2,0
3,I Have a Dream,3,5,1
4,COVER STory,6,6,1
5,BY: Kaniyan Pungundran fzpad; G+q;Fd;wd;,7,14,11
6,investigation,15,25,14
7,Lankeswaran and Rajaputhiran:,26,30,11
8,From Healing to Scheming: How LTTE's Former Medics Power Achchuthan's Operations,31,32,4
9,Debunking Achchuthan's LTTE Narrative,33,33,4
10,The Battle for Money: How Achchuthan Orchestrated KP's Fall from Grace,34,37,6
11,LTTE's Flights in Eritrea and Achchuthan's Fundraising Deception,38,39,3
12,Achchuthan's Bid for LTTE's Throne,40,60,26
13,November: The Month of Heroes Keppetipola–Shankar–Wijeyweera,61,72,10
14,Full Name : JAFFNA MONITOR PUBLICATIONS,73,74,0
