id,title,start_page,end_page,image_count
1,article_1,1,1,4
2,Monitor’s Map ,2,5,12
3,Court’s Verdict Puts Emphasis on Political Discipline Over Personal Ambitions,6,11,11
4,MONITOR MEMO,12,12,1
5,"Bankruptcy of TNPF’s Politics: Wealth, Propaganda, and Alleged Manipulations",13,18,7
6,MONITOR MEMO,19,19,1
7,The Deep Roots of Tamil Buddhism in Sri Lanka,20,20,2
8,Vigneswaran’s ‘Lio’ Leap: A Blockbuster of Political Blunders,21,30,19
9,Voice of the Reader,31,32,0
