id,title,start_page,end_page,image_count
1,article_1,1,1,1
2,Monitor’s Map ,2,2,2
3,Celebrating Thai Pongal and Unveiling Hidden Narratives,3,3,1
4,Let the People Decide My Political Journey:,4,12,8
5,Conscience versus Career:,13,14,2
6,Inside the LTTE: Anton Master's Revealing Dialogue,15,15,1
7,Anton Master Speaks:,16,17,4
8,Introduction to Prabhakaran and Philosophical Divergences,18,18,3
9,Prabhakaran's Character and Leadership,19,20,5
10,Confronting Ethical Dilemmas in LTTE's Strategies,21,25,5
11,Insights from a Training Session,26,27,3
12,c over s tory,28,33,7
13,Defying Party Lines:,34,34,1
14,The History of the Tigers Uniform,35,48,13
15,Voice of the Reader,49,50,0
