id,title,start_page,end_page,image_count
1,article_1,1,1,1
2,Monitor’s Map ,2,2,2
3,Celebrating a Beacon of Resilience and Innovation: Dr. Sabesan Sithamparanathan,3,4,2
4,From War-Torn Beginnings to Tech Triumph: The Inspiring Odyssey of Dr Sabesan Sithamparanathan,5,13,8
5,Parking Pandemonium in Jaffna:,14,19,8
6,Sinclair's Backflip Raises the Bar (and the Laughs) in Cricket Celebrations,20,26,11
7,international,27,28,2
8,ICC Ruling and Tamil Politicians' 'Fairytale' Justice Quest on Global Stage,29,29,0
9,Anton Master Speaks:,30,31,4
10,Prabhakaran's Leadership: Where Flattery Overshadowed Merit,32,41,16
11,The ODI that Had It All:,42,54,16
12,Voice of the Reader,55,56,0
